name,densidade demografica 2019 (hab/km2),old_rel_2010,(mean) Percentual da população que vive em domicílios com densidade superior a 2 pessoas por dormitório,(mean) Percentual de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados,(mean) Índice de Desenvolvimento Humano Municipal,est_active_cases (2020-06-14),FOI,vel_infection,Class,Bandeira
Brasília Teimosa,3.21672131147541,0.0728773825298135,2.92,33.44,0.69,75,0.00931464947881518,0.632530120481928,4,Laranja
Brejo da Guabiraba,1.67413333333333,0.0495380694488691,3.35,42.28,632,35,0.00720462706528067,0.553539019963702,4,Laranja
Brejo de Beberibe,1.38671875,0.043943661971831,3.35,42.28,632,5,0.00144558586761818,0.287610619469027,4,Laranja
Cabanga,0.204938271604938,0.120481927710843,2.155,28.215,741,15,0.0224813728977312,0.614035087719298,4,Laranja
Cajueiro,1.19440677966102,0.103732084574996,0.88,15.565,827,30,0.0107422469763242,0.618686868686869,2,Verde
Campina do Barreto,1.95192307692308,0.0625615763546798,2.375,31.805,0.7045,45,0.0115675755161142,0.602636534839925,4,Laranja
Campo Grande,1.54986486486486,0.0840817275554393,2.73,27.8514285714286,0.740285714285714,175,0.0144746062391518,0.724423418095801,4,Laranja
Casa Amarela,1.66117021276596,0.108389369196286,1.41,17.8575,0.82275,170,0.0194846333657656,0.712885840274375,4,Laranja
Casa Forte,1.29,0.118632336655593,0,5.09,941,55,0.0202495296427068,0.621069182389937,3,Amarela
Caxangá,0.422581967213115,0.044806517311609,2.62666666666667,23.8633333333333,0.769666666666667,45,0.0113024558335171,0.594713656387665,2,Verde
Caçote,2.43608695652174,0.0532750312332679,1.95,42.92,0.64,25,0.00556659970211624,0.744047619047619,4,Laranja
Cidade Universitária,0.0540123456790123,0.0457142857142857,1.5,24.98,777,20,0.0570477481097695,0.93167701863354,5,Vermelha
Coelhos,1.89976744186047,0.0522707797772065,3.26,30.055,0.7315,90,0.0271805917774732,0.740072202166065,4,Laranja
Cohab,1.69037558685446,0.0626024163310651,3.04125,34.77375,0.6905,220,0.00804378446180379,0.560012836970475,4,Laranja
Coqueiral,2.26509803921569,0.071935595567867,2.76,40.7,674,55,0.0118131043524263,0.75938566552901,4,Laranja
Cordeiro,1.29576470588235,0.0850281459960051,2.74444444444444,24.3988888888889,0.769888888888889,235,0.0160865687176202,0.695635229929852,4,Laranja
Curado,0.220187969924812,0.0486028114506858,2.5225,29.895,0.72625,60,0.0100109927305475,0.630749014454665,3,Amarela
Córrego do Jenipapo,1.62229508196721,0.0616410670978173,2.62,37.84,654,35,0.00919899562431689,0.611702127659574,4,Laranja
Derby,0.471489361702128,0.136281588447653,2.22,6.64,919,30,0.0358003615331081,0.665083135391924,4,Laranja
Dois Irmãos,0.0469401709401709,0.0524399126001457,2.28,27.95,0.730333333333333,20,0.0197157209226772,0.920398009950249,3,Amarela
Dois Unidos,1.12875,0.0541783797597751,3.22,35.48,648,150,0.0118366944618204,0.586560364464693,4,Laranja
Encruzilhada,1.2528431372549,0.117693090226152,2.0425,9.3025,0.88875,70,0.0170118145080581,0.660480349344978,3,Amarela
Engenho do Meio,1.25609195402299,0.100018301610542,2.045,20.48,0.78925,65,0.0149766441387737,0.816696914700545,3,Amarela
Espinheiro,1.53027397260274,0.132664935994987,1.54,13.385,862,70,0.0179356621497151,0.645380434782609,4,Laranja
Estância,1.22086419753086,0.0747294974213773,2.7725,33.8125,707,40,0.0102585075771971,0.55793991416309,4,Laranja
Fundão,1.40370967741935,0.0700907732965644,1.41333333333333,29.4433333333333,0.724333333333333,40,0.0120312839393565,0.644768856447689,3,Amarela
Graças,1.52645833333333,0.12428915881898,2.7,2.18,952,115,0.0161829110710094,0.746073298429319,3,Amarela
Guabiraba,0.0146740307559021,0.0457564575645756,3.21,31.055,0.7065,10,0.00387688137670843,0.597014925373134,3,Amarela
Hipódromo,0.948333333333333,0.126186291739895,2.84,8.09,893,10,0.00870709433835479,0.74468085106383,2,Verde
Ibura,0.531629048086359,0.0523323426799328,1.81571428571429,29.1714285714286,729,180,0.0092927461906877,0.569838833461243,3,Amarela
Ilha do Leite,0.414615384615385,0.102968460111317,4.09,11.08,867,15,0.0366126983315397,0.475113122171946,4,Laranja
Ilha do Retiro,0.741296296296296,0.063452410691981,3.805,27.445,769,15,0.0093793669491149,625,3,Amarela
Imbiribeira,0.77957957957958,0.0644645608628659,1.87909090909091,24.01,0.774818181818182,150,0.00915642622149864,0.614397065566254,3,Amarela
Ipsep,1.48816666666667,0.122410124314033,1.044,25.406,0.7616,145,0.0137690607473333,0.861204013377926,4,Laranja
Iputinga,1.28725806451613,0.0607335278429126,3.647,22.998,0.7782,205,0.0113212926948462,0.621381705905056,4,Laranja
Jaqueira,0.709583333333333,0.140340575455079,1.215,4.705,948,0,0,0.833333333333333,2,Verde
Jardim São Paulo,1.30776061776062,0.0831684922204836,3.16,24.57,0.769375,145,0.0122776261945686,0.783961699581089,4,Laranja
Jiquiá,645,0.062562699498404,3.31333333333333,35.0966666666667,689,25,0.00567344105775463,0.609418282548476,3,Amarela
